,Prey Population,Predator Popualtion,Food Count,Ratio
0,300.0,50.0,100.0,6.0
1,285.0,50.0,80.0,5.7
2,280.0,51.0,90.0,5.490196078431373
3,271.0,52.0,89.0,5.211538461538462
4,261.0,53.0,92.0,4.9245283018867925
5,257.0,53.0,89.0,4.849056603773585
6,253.0,54.0,88.0,4.685185185185185
7,242.0,54.0,94.0,4.481481481481482
8,237.0,54.0,91.0,4.388888888888889
9,227.0,54.0,94.0,4.203703703703703
10,224.0,55.0,96.0,4.072727272727272
11,220.0,55.0,94.0,4.0
12,216.0,55.0,96.0,3.9272727272727272
13,210.0,55.0,92.0,3.8181818181818183
14,207.0,56.0,97.0,3.6964285714285716
15,200.0,57.0,96.0,3.508771929824561
16,194.0,57.0,97.0,3.4035087719298245
17,188.0,57.0,96.0,3.2982456140350878
18,183.0,57.0,95.0,3.210526315789474
19,174.0,57.0,97.0,3.0526315789473686
20,172.0,57.0,93.0,3.017543859649123
21,169.0,57.0,89.0,2.9649122807017543
22,166.0,58.0,96.0,2.8620689655172415
23,164.0,58.0,94.0,2.8275862068965516
24,162.0,58.0,95.0,2.793103448275862
25,160.0,58.0,94.0,2.7586206896551726
26,160.0,58.0,90.0,2.7586206896551726
27,154.0,58.0,90.0,2.6551724137931036
28,154.0,58.0,96.0,2.6551724137931036
29,152.0,59.0,97.0,2.5762711864406778
30,147.0,59.0,95.0,2.4915254237288136
31,144.0,60.0,94.0,2.4
32,142.0,60.0,93.0,2.3666666666666667
33,138.0,60.0,95.0,2.3
34,136.0,60.0,95.0,2.2666666666666666
35,134.0,61.0,95.0,2.19672131147541
36,134.0,62.0,98.0,2.161290322580645
37,130.0,62.0,93.0,2.096774193548387
38,130.0,62.0,92.0,2.096774193548387
39,121.0,63.0,92.0,1.9206349206349207
40,119.0,63.0,99.0,1.8888888888888888
41,114.0,63.0,96.0,1.8095238095238095
42,108.0,63.0,98.0,1.7142857142857142
43,107.0,64.0,96.0,1.671875
44,102.0,64.0,99.0,1.59375
45,98.0,64.0,96.0,1.53125
46,97.0,64.0,98.0,1.515625
47,95.0,64.0,96.0,1.484375
48,92.0,64.0,97.0,1.4375
49,90.0,64.0,99.0,1.40625
50,90.0,64.0,97.0,1.40625
51,83.0,65.0,99.0,1.2769230769230768
52,84.0,65.0,94.0,1.2923076923076924
53,84.0,66.0,99.0,1.2727272727272727
54,82.0,66.0,100.0,1.2424242424242424
55,80.0,66.0,98.0,1.2121212121212122
56,77.0,66.0,98.0,1.1666666666666667
57,73.0,67.0,95.0,1.0895522388059702
58,73.0,67.0,94.0,1.0895522388059702
59,71.0,68.0,97.0,1.0441176470588236
